PlInf_City,PlInf_Pr/St,PlInf_Cntry,PlInf_Nat,PlInf_Hand,PlInf_CorsicaID,PlInf_H-Ref_Name,PlInf_Last_Name,PlInf_First_Name,PlInf_Position,PlInf_Team,Other_Injuries,ContInf_NMC,ContInf_Status,Eqip_Stick,Eqip_Glove,Eqip_Pants,Eqip_Helmet,Eqip_Skates
Kladno,,CZE,CZE,L,MICHAEL.FROLIK,Michael Frolik,Frolik,Michael,RW,CGY,Jaw,,UFA,CCM - Ribcor Trigger 2 PMT,Warrior - Dynasty AX1,CCM,CCM - Vector V08,Bauer - Supreme 1S
Elk River,MN,USA,USA,R,NATE.PROSSER,Nate Prosser,Prosser,Nate,D,"STL, MIN",,,UFA,Bauer - Vapor 1X Lite,Bauer - Vapor APX2,Bauer,Bauer - 4500,Bauer - Supreme 1S
Yaroslavl,,RUS,RUS,L,ARTEM.ANISIMOV,Artem Anisimov,Anisimov,Artem,C,CHI,Upper body,NMC,UFA,Warrior - Alpha AK27 SL,Warrior - Covert QR1,Warrior,Bauer - 5100,Bauer - Vapor 1X
Mississauga,ON,CAN,CAN,L,SHAWN.MATTHIAS,Shawn Matthias,Matthias,Shawn,LW,WPG,Upper body,,UFA,TRUE - A6.0 SBP,CCM - Super Tacks,Bauer,Bauer - 4500,Bauer - Vapor 1X
Victoria,BC,CAN,CAN,L,MATT.IRWIN,Matt Irwin,Irwin,Matt,D,NSH,,,UFA,CCM - Super Tacks 2.0,CCM - CL Pro,CCM,CCM - Fitlite,Bauer - Nexus 1N
Magnitogorsk,,RUS,RUS,L,NIKOLAY.KULEMIN,Nikolai Kulemin,Kulemin,Nikolay,LW,NYI,Upper body,,UFA,Warrior - Covert QRL,Warrior - Dynasty AX1,Warrior,Bauer - Re-Akt,TRUE - Pro Custom
Judique,NS,CAN,CAN,L,ANDREW.MACDONALD,Andrew MacDonald,MacDonald,Andrew,D,PHI,"Lower body, Upper body",,UFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,CCM,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Nizhnekamsk,,RUS,RUS,L,MIKHAIL.SERGACHEV,Mikhail Sergachev,Sergachev,Mikhail,D,TBL,,,RFA,CCM - RBZ Revolution,Bauer - Supreme 1S,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Toronto,ON,CAN,CAN,L,MIKE.CAMMALLERI,Mike Cammalleri,Cammalleri,Michael,LW,"LAK, EDM",Undisclosed,,UFA,Warrior - Covert QR EDGE,Warrior - Covert QRL,Bauer,Easton - E400,Bauer - Vapor 1X 2.0
Sault Ste. Marie,ON,CAN,CAN,R,CHRIS.THORBURN,Chris Thorburn,Thorburn,Chris,RW,STL,,,UFA,Warrior - Covert QRL,Warrior - Alpha QX,Warrior,Bauer - 5100,Bauer - Nexus 1N
Kromeriz,,CZE,CZE,L,FILIP.CHYTIL,Filip Chytil,Chytil,Filip,C,NYR,,,RFA,,,,,
Repentigny,QC,CAN,USA,R,JASON.POMINVILLE,Jason Pominville,Pominville,Jason,RW,BUF,,M-NTC,UFA,CCM - Ribcor Trigger ASY,CCM - CL Pro,CCM,CCM - Vector V08,CCM - Super Tacks
Winnipeg,MB,CAN,CAN,L,JONATHAN.TOEWS,Jonathan Toews,Toews,Jonathan,C,CHI,Upper body,NMC,UFA,Bauer - Nexus 2N,Bauer - Supreme 1S,Bauer,Bauer - 4500,Bauer - Nexus 1N
Korkino,,RUS,RUS,R,ARTEMI.PANARIN,Artemi Panarin,Panarin,Artemi,LW,CBJ,,,UFA,CCM - Jetspeed,CCM - Ultra Tacks,Bauer,CCM - Tacks 710,CCM - JetSpeed FT1
Montreal,QC,CAN,CAN,R,KRIS.LETANG,Kris Letang,Letang,Kris,D,PIT,Lower body,,UFA,Easton - Stealth CX,Warrior - Dynasty AX1,CCM,Bauer - Re-Akt,Bauer - Supreme 1S
Ust-Kamenogorsk,,KAZ,RUS,L,VICTOR.ANTIPIN,Victor Antipin,Antipin,Victor,D,BUF,Illness,,RFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Kladno,,CZE,CZE,L,TOMAS.PLEKANEC,Tomas Plekanec,Plekanec,Tomas,C,"MTL, TOR",,,UFA,Sherwood - Rekker EK365,Sherwood - Pro Custom,CCM,CCM - Vector V08,Bauer - Nexus 1N
Drummondville,QC,CAN,CAN,L,MATHIEU.PERREAULT,Mathieu Perreault,Perreault,Mathieu,C,WPG,Lower body,,UFA,Warrior - Alpha QX,TRUE - Pro,Bauer,Bauer - Re-Akt 100,Bauer - Vapor 1X 2.0
Kingsville,ON,CAN,CAN,R,DALTON.PROUT,Dalton Prout,Prout,Dalton,D,NJD,,NTC,UFA,,,,,
Nizhny Tagil,,RUS,RUS,L,ALEX.RADULOV,Alexander Radulov,Radulov,Alexander,RW,DAL,,NMC,UFA,CCM - Super Tacks,Bauer - Vapor 1X,Bauer,Easton - E400,Bauer - Vapor 1X 2.0
Caroline,AB,CAN,CAN,L,KRIS.RUSSELL,Kris Russell,Russell,Kris,D,EDM,"Hand, Undisclosed",,UFA,Bauer - Nexus 1N,Bauer - Nexus 1N,Bauer,Bauer - 4500,Bauer - Supreme 1S
Winnipeg,MB,CAN,CAN,R,PATRICK.SHARP,Patrick Sharp,Sharp,Patrick,LW,CHI,,M-NTC,UFA,,,,,
Toronto,ON,CAN,CAN,R,CHRIS.TANEV,Chris Tanev,Tanev,Christopher,D,VAN,"Mouth, Thumb",,UFA,Bauer - Supreme 1S,Bauer - Vapor APX,Bauer,Bauer - 4500,Bauer - Vapor 1X
Oslo,,NOR,NOR,L,MATS.ZUCCARELLO,Mats Zuccarello,Zuccarello,Mats,RW,NYR,Undisclosed,,UFA,Bauer - Vapor 1X Lite,Bauer - Vapor APX2,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Zhukovskiy,,RUS,RUS,L,VLADISLAV.NAMESTNIKOV,Vladislav Namestnikov,Namestnikov,Vladislav,C,"TBL, NYR",,,RFA,Bauer - Vapor 1X Lite,Warrior - Covert QRL,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
Ostrava,,CZE,CZE,R,ROMAN.POLAK,Roman Polak,Polak,Roman,D,TOR,Illness,,UFA,Warrior - Covert QR EDGE,Warrior - Dynasty AX1,Warrior,CCM - Resistance,Bauer - Nexus 8000
Gävle,,SWE,SWE,R,CALLE.JARNKROK,Calle Jarnkrok,Jarnkrok,Calle,C,NSH,Upper body,,UFA,Warrior - Alpha QX,Warrior - Covert QRL,Bauer,Bauer - Re-Akt,Bauer - Nexus 1N
Skellefteå,,SWE,SWE,L,OSCAR.LINDBERG,Oscar Lindberg,Lindberg,Oscar,C,VGK,Upper body,,UFA,Easton - Stealth CX,CCM - HG10KN,CCM,CCM - Vector V08,Bauer - Vapor X7.0
Kosice,,SVK,SVK,L,MARTIN.MARINCIN,Martin Marincin,Marincin,Martin,D,TOR,,,RFA,,,,,
Tonka Bay,MN,USA,USA,R,JUSTIN.HOLL,Justin Holl,Holl,Justin,D,TOR,,M-NTC,RFA,,,,,
Edmonton,AB,CAN,CAN,L,DAVID.SCHLEMKO,David Schlemko,Schlemko,David,D,MTL,Upper body,,UFA,Easton - Stealth CX,CCM - HG12,CCM,CCM - Vector V08,CCM - JetSpeed FT1
Newport Beach,CA,USA,USA,L,JASON.ZUCKER,Jason Zucker,Zucker,Jason,LW,MIN,,,RFA,Warrior - Alpha QX,Warrior - Dynasty AX1,Warrior,Warrior - Krown PX3,TRUE - Pro Custom
Scarborough,ON,CAN,CAN,R,TYLER.TOFFOLI,Tyler Toffoli,Toffoli,Tyler,C,LAK,,NTC,UFA,CCM - Ribcor Trigger 2 PMT,CCM - HG12,CCM,CCM - Vector V08,Bauer - Vapor 1X
Ottawa,ON,CAN,CAN,L,RYAN.SPOONER,Ryan Spooner,Spooner,Ryan,C,"BOS, NYR",Lower body,,RFA,Bauer - Supreme 1S,Verbero - Dextra Pro,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Lau,,SWE,SWE,L,JOHAN.LARSSON,Johan Larsson,Larsson,Johan,C,BUF,,NMC,RFA,Bauer - Supreme 1S,CCM - 4-Roll Pro,Bauer,CCM - Vector V08,Bauer - Nexus 1N
Kansas City,MO,USA,USA,R,MARK.ALT,Mark Alt,Alt,Mark,D,"PHI, COL",,,UFA,CCM - Ribcor Trigger 2 PMT,CCM - Ultra Tacks,CCM,CCM - Vector V08,Bauer - Supreme 1S
Ellwood City,PA,USA,USA,R,STEPHEN.JOHNS,Stephen Johns,Johns,Stephen,D,DAL,Upper body,,RFA,CCM - Super Tacks 2.0,CCM - CL Pro,CCM,CCM - Vector V08,Bauer - Supreme 1S
St. Thomas,ON,CAN,CAN,L,GREG.MCKEGG,Greg McKegg,McKegg,Greg,C,PIT,,,RFA,,,,,
Everett,MA,USA,USA,L,CONNOR.BRICKLEY,Connor Brickley,Brickley,Connor,LW/C,FLA,Upper body,,UFA,CCM - Ribcor Trigger ASY,CCM - Tacks,CCM,Bauer - Re-Akt,Bauer - Supreme 1S
North Vancouver,BC,CAN,CAN,R,JORDAN.WEAL,Jordan Weal,Weal,Jordan,C,PHI,Upper body,,UFA,Bauer - Vapor 1X Lite,CCM - CL 500,CCM,CCM - Vector V08,Bauer - Supreme 1S
Shawinigan,QC,CAN,CAN,L,MICHAEL.BOURNIVAL,Michael Bournival,Bournival,Michael,LW,TBL,,,RFA,,,,,
Oulu,,FIN,FIN,L,MARKUS.NUTIVAARA,Markus Nutivaara,Nutivaara,Markus,D,CBJ,Upper body,,UFA,Bauer - Vapor 1X Lite,Warrior - Covert QRL,Warrior,Warrior - Covert PX2,TRUE - Pro Custom
Grimsby,ON,CAN,CAN,R,KEVIN.BIEKSA,Kevin Bieksa,Bieksa,Kevin,D,ANA,Hand,,UFA,Easton - Synergy GX,Easton - Synergy HSX,Easton,Bauer - Re-Akt,Easton - Mako II
Chelyabinsk,,RUS,RUS,L,EVGENY.KUZNETSOV,Evgeny Kuznetsov,Kuznetsov,Evgeny,C,WSH,Upper body,,UFA,,,,,
E. Weymouth,MA,USA,USA,R,CHARLIE.COYLE,Charlie Coyle,Coyle,Charlie,C,MIN,Leg,,UFA,CCM - Jetspeed,Warrior - Covert QRL,CCM,Bauer - 4500,TRUE - Pro Custom
Stockholm,,SWE,SWE,L,PATRIK.NEMETH,Patrik Nemeth,Nemeth,Patrik,D,COL,"Lower body, Shoulder",M-NTC,RFA,Warrior - Covert QR EDGE,Warrior - Alpha QX,Warrior,CCM - Vector V08,CCM - JetSpeed FT1
Oklahoma City,OK,USA,USA,L,JON.MERRILL,Jonathon Merrill,Merrill,Jon,D,VGK,Undisclosed,NTC,UFA,Warrior - Alpha QX,CCM - HG12,CCM,CCM - Resistance,CCM - Ribcor 50K
Minneapolis,MN,USA,USA,R,TYLER.PITLICK,Tyler Pitlick,Pitlick,Tyler,C,DAL,Undisclosed,,UFA,CCM - Super Tacks 2.0,CCM - Quicklite,CCM,Bauer - Re-Akt 100,Bauer - Supreme 1S
Binscarth,MB,CAN,CAN,L,CODY.MCLEOD,Cody McLeod,McLeod,Cody,LW,"NSH, NYR",Abdominal,,UFA,CCM - Ribcor Trigger ASY,Bauer - Nexus 1N,Bauer,Bauer - 5100,Bauer - Vapor 1X
Warroad,MN,USA,USA,L,BROCK.NELSON,Brock Nelson,Nelson,Brock,LW/C,NYI,,,RFA,Bauer - Nexus 1N,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Edmonton,AB,CAN,CAN,R,ALEX.PETROVIC,Alexander Petrovic,Petrovic,Alexander,D,FLA,Lower body,NTC,RFA,TRUE - XCORE 9,TRUE - Pro,Bauer,Bauer - 4500,Bauer - Supreme 1S
Scarborough,ON,CAN,CAN,R,DEVANTE.SMITH-PELLY,Devante Smith-Pelly,Smith-Pelly,Devante,RW,WSH,,,RFA,,,,,
Toronto,ON,CAN,CAN,R,MIKE.BLUNDEN,Mike Blunden,Blunden,Mike,RW,OTT,,,UFA,,,,,
Minneapolis,MN,USA,USA,R,NICK.BJUGSTAD,Nick Bjugstad,Bjugstad,Nick,C,FLA,,,UFA,TRUE - A6.0 SBP,CCM - Ultra Tacks,CCM,CCM - Resistance,CCM - Super Tacks
Gardena,CA,USA,USA,R,BEAU.BENNETT,Beau Bennett,Bennett,Beau,RW,STL,,,RFA,,,,,
Duluth,MN,USA,USA,L,DEREK.FORBORT,Derek Forbort,Forbort,Derek,D,LAK,"Lower body, Upper body",,UFA,CCM - Super Tacks,CCM - CL Pro,CCM,CCM - Vector V08,Bauer - Vapor 1X
Dorchester,MA,USA,USA,L,KEVIN.HAYES,Kevin Hayes,Hayes,Kevin,RW/C,NYR,Lower body,,RFA,Bauer - Nexus 1N,Bauer - Nexus 1000,Bauer,Bauer - 4500,Bauer - Supreme 1S
Windsor,ON,CAN,USA,L,CAM.FOWLER,Cam Fowler,Fowler,Cam,D,ANA,"Lower body, Shoulder",,UFA,Bauer - Supreme 1S,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Quebec City,QC,CAN,USA,L,PAUL.STASTNY,Paul Stastny,Stastny,Paul,C,"STL, WPG",Lower body,NTC,UFA,Warrior - Covert QR EDGE,Warrior - Covert QR1,CCM,Bauer - 4500,TRUE - Pro Custom
Ann Arbor,MI,USA,USA,R,AUSTIN.WATSON,Austin Watson,Watson,Austin,LW,NSH,Upper body,,UFA,CCM - Jetspeed,CCM - HG12,CCM,CCM - Resistance,CCM - JetSpeed FT1
Wilcox,SK,CAN,CAN,L,JADEN.SCHWARTZ,Jaden Schwartz,Schwartz,Jaden,LW,STL,Ankle,,UFA,Warrior - Alpha QX,Warrior - Covert QRL,Warrior,Bauer - 4500,TRUE - Pro Custom
Cole Harbour,NS,CAN,CAN,L,SIDNEY.CROSBY,Sidney Crosby,Crosby,Sidney,C,PIT,,NMC,UFA,CCM - Ribcor Reckoner,CCM - HG10KN,CCM,CCM - Fitlite 80,CCM - Ribcor 70K
St. Catharines,ON,CAN,CAN,L,RILEY.SHEAHAN,Riley Sheahan,Sheahan,Riley,C,"DET, PIT",,,RFA,Bauer - Nexus 1N,Bauer - Nexus 1N,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
Indianapolis,IN,USA,USA,L,JACK.JOHNSON,Jack Johnson,Johnson,Jack,D,CBJ,,,UFA,Bauer - Nexus 1N,Bauer - Vapor 1X,Bauer,Bauer - 4500,Bauer - Nexus 1N
Alfred,ON,CAN,CAN,L,BENOIT.POULIOT,Benoit Pouliot,Pouliot,Benoit,LW,BUF,,,UFA,Bauer - Vapor 1X Lite,CCM - Tacks,CCM,CCM - Vector V08,CCM - JetSpeed
Plzen,,CZE,CZE,R,ANDREJ.SUSTR,Andrej Sustr,Sustr,Andrej,D,TBL,,NTC,UFA,Warrior - Covert QR EDGE,Warrior - Dynasty AX1,Bauer,CCM - Vector V08,Bauer - Vapor 1X
Walpole,MA,USA,USA,R,CHRIS.WAGNER,Chris Wagner,Wagner,Chris,C/RW,"ANA, NYI",,,UFA,Bauer - Supreme 1S,Bauer - Vapor 1X,Bauer,Bauer - 9900,Bauer - Vapor 1X
Jesenice,,SVN,SVN,L,ANZE.KOPITAR,Anze Kopitar,Kopitar,Anze,C,LAK,,NMC,UFA,Bauer - Nexus 1N,Bauer - Nexus 1000,Bauer,Bauer - 5100,Bauer - Vapor 1X 2.0
Kalajoki,,FIN,FIN,L,JUSSI.JOKINEN,Jussi Jokinen,Jokinen,Jussi,LW,"EDM, LAK, CBJ, VAN",,,UFA,Easton - Stealth RS,Easton - Pro,CCM,Bauer - 4500,Bauer - Nexus 1N
Wawota,SK,CAN,CAN,L,BROOKS.LAICH,Brooks Laich,Laich,Brooks,C,LAK,,,,,,,,
Toronto,ON,CAN,CAN,L,JEFF.SKINNER,Jeff Skinner,Skinner,Jeff,LW,CAR,,"M-NTC, NMC",UFA,Bauer - Vapor 1X Lite,CCM - HG12,Bauer,CCM - Resistance,Bauer - Supreme 1S
Toronto,ON,CAN,CAN,R,ZACH.HYMAN,Zach Hyman,Hyman,Zach,C,TOR,,,UFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,TRUE - Pro Custom
Pisek,,CZE,CZE,L,MARTIN.HANZAL,Martin Hanzal,Hanzal,Martin,C,DAL,Undisclosed,NMC,UFA,Bauer - Supreme 1S,Bauer - Nexus 1N,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Kazan,,RUS,RUS,L,ALEX.BURMISTROV,Alexander Burmistrov,Burmistrov,Alexander,C,VAN,,,,,,,,
Edmonton,AB,CAN,CAN,R,DERYK.ENGELLAND,Deryk Engelland,Engelland,Deryk,D,VGK,Upper body,"M-NTC, NMC",UFA,Warrior - Alpha QX,Warrior - Covert QR1,Warrior,Warrior - Covert PX2,Bauer - Vapor 1X 2.0
Ottawa,ON,CAN,CAN,R,ERIK.GUDBRANSON,Erik Gudbranson,Gudbranson,Erik,D,VAN,"Shoulder, Upper body","M-NTC, NMC",UFA,Bauer - Nexus 1N,Bauer - Nexus 1N,Bauer,Bauer - 4500,Bauer - Supreme 1S
Winchester,MA,USA,USA,L,CONOR.SHEARY,Conor Sheary,Sheary,Conor,LW,PIT,Lower body,,UFA,CCM - Jetspeed,CCM - CL Pro,CCM,Bauer - Re-Akt,CCM - JetSpeed
Campbell River,BC,CAN,CAN,R,BRETT.CONNOLLY,Brett Connolly,Connolly,Brett,RW,WSH,Concussion,,UFA,,,,,
Vancouver,BC,CAN,CAN,R,RYAN.JOHANSEN,Ryan Johansen,Johansen,Ryan,C,NSH,Upper body,NMC,UFA,TRUE - XCORE 9,TRUE - Pro,Bauer,Bauer - Re-Akt,TRUE - Pro Custom
Everett,WA,USA,USA,R,T.J..OSHIE,T.J. Oshie,Oshie,T.J.,RW,WSH,"Undisclosed, Upper body",,UFA,,,,,
Sudbury,ON,CAN,CAN,L,BRENDAN.GAUNCE,Brendan Gaunce,Gaunce,Brendan,LW/C,VAN,Shoulder,,RFA,CCM - RBZ FT1,CCM - CL Pro,Bauer,CCM - Vector V08,Bauer - Supreme 1S
Sherwood Park,AB,CAN,CAN,R,MARK.PYSYK,Mark Pysyk,Pysyk,Mark,D,FLA,,,UFA,Bauer - Vapor 1X Lite,Bauer - Nexus 1N,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
Middletown,NJ,USA,USA,R,TREVOR.VAN RIEMSDYK,Trevor van Riemsdyk,van Riemsdyk,Trevor,D,CAR,Concussion,,RFA,STX - Stallion HPR,STX - Stallion HPR,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Oviedo,FL,USA,USA,R,RYAN.CARPENTER,Ryan Carpenter,Carpenter,Ryan,C,"SJS, VGK",,,UFA,CCM - RBZ Revolution,CCM - 4-Roll Pro,CCM,CCM - Vector V08,Bauer - Vapor 1X
Chur,,CHE,CHE,L,NINO.NIEDERREITER,Nino Niederreiter,Niederreiter,Nino,RW,MIN,Lower body,,UFA,Bauer - Nexus 2N,Bauer - Supreme 1S,Bauer,Bauer - 4500,Bauer - Supreme 2S
Gothenburg,,SWE,SWE,R,CHRISTIAN.FOLIN,Christian Folin,Folin,Christian,D,LAK,Upper body,,UFA,Bauer - Vapor 1X Lite,Bauer - Nexus 1N,Bauer,Bauer - 4500,Bauer - Vapor 1X 2.0
Dearborn Heights,MI,USA,USA,L,JORDAN.OESTERLE,Jordan Oesterle,Oesterle,Jordan,D,CHI,,,UFA,Warrior - Alpha QX,Warrior - Covert QRL,Warrior,Bauer - Re-Akt 100,Bauer - Vapor 1X 2.0
Montreal,QC,CAN,CAN,L,MARC-EDOUARD.VLASIC,Marc-Edouard Vlasic,Vlasic,Marc-Edouard,D,SJS,Head,,UFA,Easton - Stealth CX,Sherwood - BPM 120S,Easton,Easton - E400,Bauer - Nexus 7000
Thunder Bay,ON,CAN,USA,L,TAYLOR.CHORNEY,Taylor Chorney,Chorney,Taylor,D,"WSH, CBJ",,,UFA,CCM - Jetspeed,CCM - HG12,CCM,CCM - Vector V08,CCM - Super Tacks
Stockholm,,SWE,SWE,L,JOAKIM.NORDSTROM,Joakim Nordstrom,Nordstrom,Joakim,LW,CAR,"Illness, Upper body",,RFA,Bauer - Vapor 1X Lite,Warrior - Alpha QX,Bauer,CCM - Resistance,Bauer - Vapor 1X 2.0
Ile Bizard,QC,CAN,CAN,L,MICHAEL.CHAPUT,Michael Chaput,Chaput,Michael,C,VAN,,,RFA,,,,,
Stockholm,,SWE,SWE,L,JOHNNY.ODUYA,Johnny Oduya,Oduya,Johnny,D,"OTT, PHI","Lower body, Undisclosed",,UFA,Warrior - Covert QRL,Warrior - Dynasty AX1,Warrior,CCM - Vector V08,Bauer - Nexus 1N
Pontiac,MI,USA,USA,R,BRYAN.RUST,Bryan Rust,Rust,Bryan,RW,PIT,Upper body,,RFA,Bauer - Nexus 1N,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,CCM - JetSpeed
Muskegon,MI,USA,USA,L,JUSTIN.ABDELKADER,Justin Abdelkader,Abdelkader,Justin,LW,DET,Lower body,NMC,UFA,Warrior - Covert QRL,Warrior - Covert QRL,Warrior,Warrior - Covert PX2,Bauer - Vapor 1X
Charlottetown,PE,CAN,CAN,R,ADAM.MCQUAID,Adam McQuaid,McQuaid,Adam,D,BOS,Leg,,UFA,STX - Surgeon RX2,STX - Surgeon 500,Warrior,Warrior - Covert PX2,TRUE - Pro Custom
Raahe,,FIN,FIN,R,JOONAS.DONSKOI,Joonas Donskoi,Donskoi,Joonas,RW,SJS,"Lower body, Upper body",,UFA,Warrior - Alpha QX,Warrior - Covert QR1,Warrior,Bauer - 4500,Bauer - Supreme 1S
Edmonton,AB,CAN,CAN,R,BRENDAN.GALLAGHER,Brendan Gallagher,Gallagher,Brendan,RW,MTL,,,UFA,Warrior - Covert QR EDGE,Warrior - Covert QRL,Warrior,Warrior - Covert PX2,Bauer - Vapor 1X
Boston,MA,USA,USA,L,KEITH.YANDLE,Keith Yandle,Yandle,Keith,D,FLA,,NMC,UFA,CCM - Jetspeed,CCM - CL Pro,CCM,CCM - Resistance,CCM - Ribcor 70K
Landshut,,DEU,DEU,L,TOM.KUHNHACKL,Tom Kuhnhackl,Kuhnhackl,Tom,RW,PIT,"Lower body, Upper body",,RFA,CCM - Ribcor Trigger 2 PMT,CCM - HG12,CCM,CCM - Vector V08,CCM - Ribcor 50K
Sodertalje,,SWE,SWE,L,MARCUS.SORENSEN,Marcus Sorensen,Sorensen,Marcus,LW,SJS,,,UFA,CCM - Jetspeed,CCM - CL Pro,CCM,CCM - Vector V08,Reebok - 20K
Vantaa,,FIN,FIN,L,VALTTERI.FILPPULA,Valtteri Filppula,Filppula,Valtteri,C,PHI,Arm,,UFA,Warrior - Alpha QX,Warrior - Covert QRL,Bauer,Bauer - 5100,Bauer - Vapor 1X 2.0
Sicamous,BC,CAN,CAN,R,CODY.FRANSON,Cody Franson,Franson,Cody,D,CHI,Upper body,,UFA,,,,,
Trebic,,CZE,CZE,L,VLADIMIR.SOBOTKA,Vladimir Sobotka,Sobotka,Vladimir,LW,STL,Illness,,UFA,CCM - Ribcor Trigger ASY,Bauer - Vapor 1X,Bauer,CCM - Resistance,CCM - JetSpeed
Gothenburg,,SWE,SWE,R,TIM.HEED,Tim Heed,Heed,Tim,D,SJS,Upper body,NMC,UFA,,,,,
Morristown,NJ,USA,USA,L,KENNY.AGOSTINO,Kenny Agostino,Agostino,Kenny,LW,BOS,,,UFA,,,,,
Thunder Bay,ON,CAN,CAN,R,ROBERT.BORTUZZO,Robert Bortuzzo,Bortuzzo,Robert,D,STL,Knee,,UFA,Easton - Stealth CX,Bauer - Vapor 1X,Bauer,Bauer - 4500,TRUE - Pro Custom
Staten Island,NY,USA,USA,L,ZACH.ASTON-REESE,Zach Aston-Reese,Aston-Reese,Zach,C,PIT,Upper body,,RFA,CCM - Ribcor Trigger 2 PMT,CCM - CL Pro,CCM,CCM - Vector V08,Bauer - Vapor 1X 2.0
Sherwood Park,AB,CAN,CAN,L,DANIEL.CARR,Daniel Carr,Carr,Daniel,LW,MTL,,,RFA,CCM - Ribcor Trigger 2 PMT,CCM - Ultra Tacks,CCM,CCM - Vector V08,CCM - JetSpeed FT1
Nassjo,,SWE,SWE,R,JESPER.FAST,Jesper Fast,Fast,Jesper,RW,NYR,Leg,,UFA,Bauer - Nexus 1N,Bauer - Vapor APX2,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
St. Louis,MO,USA,USA,L,CHRIS.BUTLER,Chris Butler,Butler,Chris,D,STL,,,UFA,,,,,
Karlskrona,,SWE,SWE,L,OLIVER.EKMAN-LARSSON,Oliver Ekman-Larsson,Ekman-Larsson,Oliver,D,ARI,,,UFA,Bauer - Vapor 1X Lite,Bauer - Supreme 1S,CCM,Bauer - 5100,Bauer - Supreme 1S
Charlotte,NC,USA,USA,R,JARED.BOLL,Jared Boll,Boll,Jared,RW,ANA,Lower body,,UFA,Bauer - Nexus 1N,Bauer - Vapor 1X,Bauer,Bauer - 5100,Bauer - Nexus 1N
Thunder Bay,ON,CAN,CAN,L,TOM.PYATT,Tom Pyatt,Pyatt,Tom,LW,OTT,Illness,,UFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Eksjo,,SWE,SWE,L,NIKLAS.HJALMARSSON,Niklas Hjalmarsson,Hjalmarsson,Niklas,D,ARI,Upper body,,UFA,CCM - Super Tacks,CCM - HG12,CCM,CCM - Vector V08,CCM - Ribcor 50K
Kennebunkport,ME,USA,USA,R,GARNET.HATHAWAY,Garnet Hathaway,Hathaway,Garnet,RW,CGY,,,RFA,CCM - Super Tacks 2.0,CCM - Tacks,CCM,CCM - Vector V08,TRUE - Pro Custom
Island Park,NY,USA,USA,L,ANTHONY.BITETTO,Anthony Bitetto,Bitetto,Anthony,D,NSH,,,UFA,CCM - Ribcor Trigger ASY,Bauer - Nexus 1N,CCM,CCM - Vector V08,Bauer - Supreme 1S
Taber,AB,CAN,CAN,L,BRANDON.DAVIDSON,Brandon Davidson,Davidson,Brandon,D,"MTL, EDM, NYI",Undisclosed,,RFA,CCM - Ribcor Trigger 2 PMT,CCM - 4-Roll Pro,CCM,CCM - Vector V08,Bauer - Supreme 1S
Bromont,QC,CAN,CAN,R,FREDERICK.GAUDREAU,Frederick Gaudreau,Gaudreau,Frederick,C,NSH,,,UFA,,,,,
Excelsior,MN,USA,USA,R,VINNI.LETTIERI,Vinni Lettieri,Lettieri,Vinni,C,NYR,,,RFA,,,,,
Kladno,,CZE,CZE,L,JAROMIR.JAGR,Jaromir Jagr,Jagr,Jaromir,RW,CGY,Lower body,,UFA,,,,,
Lycksele,,SWE,SWE,R,MELKER.KARLSSON,Melker Karlsson,Karlsson,Melker,C,SJS,Upper body,,UFA,CCM - Ribcor Reckoner,CCM - HG12,CCM,CCM - Vector V08,TRUE - Pro Custom
Toronto,ON,CAN,CAN,R,FREDDIE.HAMILTON,Freddie Hamilton,Hamilton,Freddie,C,"CGY, ARI",,,RFA,Bauer - Supreme 1S,Bauer - Vapor 1X,CCM,CCM - Vector V08,CCM - Ribcor 70K
Kingsford,MI,USA,USA,L,KEVIN.GRAVEL,Kevin Gravel,Gravel,Kevin,D,LAK,,,UFA,CCM - Ribcor Trigger 2 PMT,CCM - CL Pro,CCM,CCM - Vector V08,Bauer - Vapor 1X
Spokane,WA,USA,USA,R,KAILER.YAMAMOTO,Kailer Yamamoto,Yamamoto,Kailer,RW,EDM,,,RFA,,,,,
