PlInf_City,PlInf_Pr/St,PlInf_Cntry,PlInf_Nat,PlInf_Hand,PlInf_CorsicaID,PlInf_H-Ref_Name,PlInf_Last_Name,PlInf_First_Name,PlInf_Position,PlInf_Team,Other_Injuries,ContInf_NMC,ContInf_Status,Eqip_Stick,Eqip_Glove,Eqip_Pants,Eqip_Helmet,Eqip_Skates
San Ramon,CA,USA,USA,L,AUSTON.MATTHEWS,Auston Matthews,Matthews,Auston,C,TOR,Upper body,,RFA,Bauer - Nexus 1N,Bauer - Nexus 1N,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Haliburton,ON,CAN,CAN,L,MATT.DUCHENE,Matt Duchene,Duchene,Matt,C,"COL, OTT",,,UFA,CCM - Jetspeed,CCM - HG12,CCM,CCM - Fitlite 80,CCM - Ribcor 70K
Burlington,ON,CAN,CAN,R,JORDAN.SZWARZ,Jordan Szwarz,Szwarz,Jordan,RW,BOS,,,UFA,,,,,
Madison,WI,USA,USA,R,CRAIG.SMITH,Craig Smith,Smith,Craig,RW,NSH,Lower body,,UFA,Bauer - Supreme 1S,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Nexus 1N
St. Louis,MO,USA,USA,R,CHRIS.WIDEMAN,Chris Wideman,Wideman,Chris,D,OTT,Neck,,UFA,Bauer - Vapor 1X Lite,Bauer - Supreme 1S,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Long Beach,NY,USA,USA,R,CHARLIE.MCAVOY,Charlie McAvoy,McAvoy,Charlie,D,BOS,Knee,,RFA,CCM - Jetspeed,CCM - Quicklite,CCM,CCM - Resistance,Bauer - Supreme 1S
Toronto,ON,CAN,CAN,L,CASEY.CIZIKAS,Casey Cizikas,Cizikas,Casey,C,NYI,"Lower body, Upper body",,UFA,Warrior - Alpha QX,Warrior - Alpha QX,Warrior,Warrior - Covert PX2,Bauer - Supreme 1S
St. Hyacinthe,QC,CAN,CAN,R,DAVID.SAVARD,David Savard,Savard,David,D,CBJ,,,UFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt 100,Bauer - Supreme 1S
LaSalle,QC,CAN,CAN,L,NICOLAS.DESLAURIERS,Nicolas Deslauriers,Deslauriers,Nicolas,LW,MTL,,,UFA,TRUE - XCORE 9,CCM - Quicklite,CCM,Bauer - Re-Akt 100,Bauer - Supreme 1S
Winnipeg,MB,CAN,CAN,L,CODY.EAKIN,Cody Eakin,Eakin,Cody,C,VGK,Undisclosed,,UFA,CCM - Ribcor Trigger 2 PMT,CCM - Quicklite,Easton,CCM - Resistance,CCM - Super Tacks
Farmington Hills,MI,USA,USA,R,ALEX.DEBRINCAT,Alex DeBrincat,DeBrincat,Alex,RW,CHI,,,RFA,CCM - Jetspeed,CCM - Ultra Tacks,CCM,CCM - Resistance,CCM - Super Tacks AS1
Villach,,AUT,AUT,L,MICHAEL.RAFFL,Michael Raffl,Raffl,Michael,LW,PHI,Upper body,,UFA,CCM - Ribcor Trigger 2 PMT,CCM - HG12,CCM,CCM - Vector V08,CCM - Super Tacks
Tampere,,FIN,FIN,R,PATRIK.LAINE,Patrik Laine,Laine,Patrik,RW,WPG,,,RFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
Edmonton,AB,CAN,CAN,L,KEVIN.CONNAUTON,Kevin Connauton,Connauton,Kevin,D,ARI,Undisclosed,NMC,UFA,Warrior - Alpha QX,Warrior - Dynasty AX1,CCM,Warrior - Covert PX2,Bauer - Vapor 1X
Chesterfield,MO,USA,USA,L,CLAYTON.KELLER,Clayton Keller,Keller,Clayton,LW/C,ARI,,,RFA,Bauer - Vapor 1X Lite,Bauer - Nexus 1N,Bauer,Bauer - Re-Akt 100,Bauer - Vapor 1X 2.0
Alvkarleby,,SWE,FIN,R,JESSE.PULJUJARVI,Jesse Puljujarvi,Puljujarvi,Jesse,RW,EDM,,,RFA,Warrior - Covert QRL,Bauer - Supreme 1S,Bauer,Bauer - Re-Akt 100,TRUE - Pro Custom
Trencin,,SVK,SVK,L,ZDENO.CHARA,Zdeno Chara,Chara,Zdeno,D,BOS,Upper body,M-NTC,UFA,Warrior - Alpha QX,Warrior - Dynasty AX1,Warrior,Warrior - Covert PX2,TRUE - Pro Custom
Ville Degelis,QC,CAN,CAN,R,GABRIEL.DUMONT,Gabriel Dumont,Dumont,Gabriel,C,"TBL, OTT",Ankle,,UFA,,,,,
South St.Paul,MN,USA,USA,R,JUSTIN.FAULK,Justin Faulk,Faulk,Justin,D,CAR,"Undisclosed, Upper body",,UFA,Easton - Stealth CX,Bauer - BH Pro,Bauer,CCM - Vector V08,Bauer - Vapor 1X 2.0
Canton,NY,USA,USA,L,WADE.MEGAN,Wade Megan,Megan,Wade,C,STL,,,UFA,,,,,
Rimouski,QC,CAN,CAN,L,GABRIEL.BOURQUE,Gabriel Bourque,Bourque,Gabriel,LW,COL,Upper body,,UFA,CCM - Ribcor Trigger 2 PMT,CCM - HG12,CCM,CCM - Vector V08,CCM - Ribcor 50K
Raleigh,NC,USA,USA,L,LOGAN.BROWN,Logan Brown,Brown,Logan,C,OTT,,,RFA,,,,,
Molnlycke,,SWE,SWE,L,ANTON.BLIDH,Anton Blidh,Blidh,Anton,LW,BOS,,,RFA,,,,,
St. Albert,AB,CAN,CAN,L,TYSON.JOST,Tyson Jost,Jost,Tyson,C,COL,"Leg, Lower body",,RFA,CCM - Ribcor Trigger 2 PMT,CCM - Ultra Tacks,CCM,CCM - Vector V08,CCM - Ribcor 70K
Oulunsalo,,FIN,FIN,L,JANNE.KUOKKANEN,Janne Kuokkanen,Kuokkanen,Janne,C,CAR,,,RFA,,,,,
Winkler,MB,CAN,CAN,R,BYRON.FROESE,Byron Froese,Froese,Byron,C,MTL,Illness,,UFA,CCM - Ribcor Trigger ASY,CCM - CS 400,CCM,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Hamilton,ON,CAN,CAN,L,BEN.CHIAROT,Ben Chiarot,Chiarot,Ben,D,WPG,,,UFA,Warrior - Alpha QX,Warrior - Alpha QX,CCM,CCM - Vector V08,Bauer - Supreme 1S
Woodbridge,ON,CAN,CAN,L,VICTOR.METE,Victor Mete,Mete,Victor,D,MTL,Finger,,RFA,TRUE - XCORE 9,CCM - CL 500,CCM,CCM - Resistance,Bauer - Vapor 1X
Oulu,,FIN,FIN,L,MARKUS.GRANLUND,Markus Granlund,Granlund,Markus,C,VAN,Upper body,"M-NTC, NMC",RFA,Warrior - Alpha QX,Warrior - Dynasty AX1,Warrior,Warrior - Covert PX2,Bauer - Vapor 1X
Pori,,FIN,FIN,L,ERIK.HAULA,Erik Haula,Haula,Erik,LW,VGK,"Flu, Lower body",,UFA,CCM - Ribcor Trigger 2 PMT,CCM - 4-Roll Pro,CCM,CCM - Resistance,TRUE - Pro Custom
Montreal,QC,CAN,CAN,L,JOHN.GILMOUR,John Gilmour,Gilmour,John,D,NYR,,,RFA,CCM - Super Tacks 2.0,CCM - Ultra Tacks,CCM,Bauer - Re-Akt 100,Bauer - Vapor 1X
Magnitogorsk,,RUS,RUS,L,EVGENI.MALKIN,Evgeni Malkin,Malkin,Evgeni,C,PIT,Upper body,,UFA,CCM - Super Tacks,Bauer - Supreme 1S,Bauer,Bauer - 4500,Bauer - Vapor 1X 2.0
Detroit,MI,USA,USA,R,AUSTIN.CZARNIK,Austin Czarnik,Czarnik,Austin,C,BOS,Illness,,UFA,,,,,
Ottawa,ON,CAN,CAN,R,MACKENZIE.WEEGAR,MacKenzie Weegar,Weegar,MacKenzie,D,FLA,,M-NTC,RFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Roberval,QC,CAN,CAN,L,SAMUEL.GIRARD,Samuel Girard,Girard,Samuel,D,"NSH, COL",,,RFA,CCM - Ribcor Trigger 2 PMT,CCM - Super Tacks,CCM,CCM - Vector V08,CCM - Tacks
